city,neighbourhood,predicted_revenue,benchmark_price,roi_ratio
Vancouver,Fairview,23427.467349915147,896917.0,0.026119994770881973
Vancouver,Grandview-Woodland,28674.146975397536,1447258.0,0.019812740351338558
Vancouver,Hastings-Sunrise,27282.28849079405,1494258.0,0.018258084273796125
Vancouver,Kerrisdale,26539.87361172287,2364058.0,0.011226405448480059
Vancouver,Killarney,24058.28925048501,1669400.0,0.014411338954405781
Vancouver,Kitsilano,26633.963356082066,1356900.0,0.01962853810603734
Vancouver,Marpole,24631.068686152717,1211933.0,0.020323787442171073
Vancouver,Oakridge,27342.254227288104,1450700.0,0.018847628198309853
Vancouver,Shaughnessy,23982.213507366698,4091100.0,0.0058620452952425255
Vancouver,South Cambie,23019.06338083104,1629142.0,0.014129562297719316
Vancouver,Strathcona,29079.25074563822,917658.0,0.03168854926959523
Vancouver,West Point Grey,26219.71775406169,2657267.0,0.009867174715247543
Victoria,Central Saanich,18772.99076765353,1489100.0,0.012606937591601322
Victoria,Central Saanich,18772.99076765353,1364500.0,0.013758146403557003
Victoria,Central Saanich,18772.99076765353,1206100.0,0.015565036703136996
Victoria,Central Saanich,18772.99076765353,1093500.0,0.017167801342161434
Victoria,Colwood,19031.369090661097,1085500.0,0.017532352916316073
Victoria,Esquimalt,20035.227854569737,1080900.0,0.01853569049363469
Victoria,Langford,20647.3682346681,1048000.0,0.01970168724682071
Victoria,North Saanich,16776.774035277558,1489100.0,0.011266385088494767
Victoria,North Saanich,16776.774035277558,1364500.0,0.012295180678107408
Victoria,North Saanich,16776.774035277558,1206100.0,0.013909936187113472
Victoria,North Saanich,16776.774035277558,1093500.0,0.015342271637199412
Victoria,Oak Bay,15351.864261966168,1867500.0,0.008220543112163945
Victoria,Saanich,20007.869639957746,1489100.0,0.013436216264829591
Victoria,Saanich,20007.869639957746,1364500.0,0.014663151073622385
Victoria,Saanich,20007.869639957746,1206100.0,0.016588897802800553
Victoria,Saanich,20007.869639957746,1093500.0,0.01829709157746479
Victoria,Sidney,18688.725934674138,1041800.0,0.01793888072055494
Victoria,Sooke,21406.64819503982,869400.0,0.024622323665792294
Victoria,Victoria West,20652.94247294349,1020900.0,0.02023013269952345
Victoria,View Royal,20637.64523840243,1085600.0,0.019010358546796637
Vancouver,Arbutus Ridge,22637.100476015345,3716033.0,0.0060917382800463145
Vancouver,Downtown,25337.3426612589,660017.0,0.03838892431749318
Vancouver,Dunbar Southlands,24809.34769766803,3092767.0,0.008021731898221893
Vancouver,Mount Pleasant,25615.93348186099,1174175.0,0.021816112148411428
Vancouver,Mount Pleasant,25615.93348186099,897775.0,0.028532687457170216
Vancouver,Renfrew-Collingwood,25968.415757938423,900658.0,0.02883271536802918
Vancouver,Victoria-Fraserview,23009.60160151276,1284550.0,0.01791257763536862
