city,month,neighbourhood,listings_count,area_km2,density_per_km2
Vancouver,2025-04,Arbutus Ridge,108,3.7038934283686538,29.158506336281825
Vancouver,2025-04,Downtown,1362,3.22548763542495,422.26173340161006
Vancouver,2025-04,Downtown Eastside,325,2.02300840413533,160.65182889781954
Vancouver,2025-04,Dunbar Southlands,194,8.581286583556835,22.60733260811218
Vancouver,2025-04,Fairview,149,3.274315603917865,45.505692799348616
Vancouver,2025-04,Grandview-Woodland,214,4.458516990067816,47.998022767822846
Vancouver,2025-04,Hastings-Sunrise,292,7.954167843280566,36.71031410868109
Vancouver,2025-04,Kensington-Cedar Cottage,346,7.255306997122668,47.68922943401537
Vancouver,2025-04,Kerrisdale,50,6.326298058741758,7.903516327516275
Vancouver,2025-04,Killarney,85,6.65468976801816,12.772947043828001
Vancouver,2025-04,Kitsilano,385,5.475707989322805,70.31054262767836
Vancouver,2025-04,Marpole,160,5.608045964172607,28.53043663018655
Vancouver,2025-04,Mount Pleasant,382,3.664234941907436,104.25095717283564
Vancouver,2025-04,Oakridge,91,4.018948836061148,22.64273662393433
Vancouver,2025-04,Renfrew-Collingwood,222,8.06645201132866,27.52139350587092
Vancouver,2025-04,Riley Park,235,4.921959452083207,47.74521250891997
Vancouver,2025-04,Shaughnessy,82,4.469268019121523,18.347523498068902
Vancouver,2025-04,South Cambie,45,2.1785027096850635,20.65638927137504
Vancouver,2025-04,Strathcona,21,1.7146236720070096,12.24758548645195
Vancouver,2025-04,Sunset,153,6.277312134421052,24.373489277526737
Vancouver,2025-04,Victoria-Fraserview,121,5.327841380904788,22.71088633262792
Vancouver,2025-04,West End,321,1.981200156581451,162.023003548457
Vancouver,2025-04,West Point Grey,117,4.4650877181221,26.20329260837168
Vancouver,2025-06,Arbutus Ridge,103,3.7038934283686538,27.808575487379887
Vancouver,2025-06,Downtown,1256,3.22548763542495,389.3984854276228
Vancouver,2025-06,Downtown Eastside,302,2.02300840413533,149.28262254505077
Vancouver,2025-06,Dunbar Southlands,194,8.581286583556835,22.60733260811218
Vancouver,2025-06,Fairview,131,3.274315603917865,40.00836078331992
Vancouver,2025-06,Grandview-Woodland,189,4.458516990067816,42.39077711737625
Vancouver,2025-06,Hastings-Sunrise,264,7.954167843280566,33.1901470023692
Vancouver,2025-06,Kensington-Cedar Cottage,315,7.255306997122668,43.41649500495619
Vancouver,2025-06,Kerrisdale,64,6.326298058741758,10.116500899220833
Vancouver,2025-06,Killarney,85,6.65468976801816,12.772947043828001
Vancouver,2025-06,Kitsilano,344,5.475707989322805,62.822926399795726
Vancouver,2025-06,Marpole,153,5.608045964172607,27.28223002761589
Vancouver,2025-06,Mount Pleasant,346,3.664234941907436,94.42625963822286
Vancouver,2025-06,Oakridge,86,4.018948836061148,21.398630216025847
Vancouver,2025-06,Renfrew-Collingwood,208,8.06645201132866,25.785810131626807
Vancouver,2025-06,Riley Park,234,4.921959452083207,47.542041391860735
Vancouver,2025-06,Shaughnessy,66,4.469268019121523,14.767518913079849
Vancouver,2025-06,South Cambie,46,2.1785027096850635,21.115420144072264
Vancouver,2025-06,Strathcona,21,1.7146236720070096,12.24758548645195
Vancouver,2025-06,Sunset,158,6.277312134421052,25.170008534962253
Vancouver,2025-06,Victoria-Fraserview,138,5.327841380904788,25.9016720157244
Vancouver,2025-06,West End,287,1.981200156581451,144.86168853086343
Vancouver,2025-06,West Point Grey,100,4.4650877181221,22.395976588351864
Victoria,2025-03,Burnside,36,2.383840052607786,15.101684343552346
Victoria,2025-03,Central Saanich,98,51.78657604897816,1.8923823020721546
Victoria,2025-03,Colwood,153,21.144397915686927,7.2359591703715544
Victoria,2025-03,Downtown,317,0.7651288159031854,414.3093207459477
Victoria,2025-03,Esquimalt,100,10.814618165235897,9.246743479252439
Victoria,2025-03,Fairfield,120,2.7071112024768147,44.32769510547203
Victoria,2025-03,Fernwood,47,1.7530827274117144,26.80991562183247
Victoria,2025-03,Gonzales,25,1.3668243493941041,18.290572604360012
Victoria,2025-03,Harris Green,42,0.24035236438789243,174.7434443050385
Victoria,2025-03,Highlands,17,40.90490647820772,0.4155980654559577
Victoria,2025-03,Hillside/Quadra,8,1.6581539150959224,4.824642590273177
Victoria,2025-03,James Bay,133,2.385491572696243,55.7537077566258
Victoria,2025-03,Juan de Fuca,393,2901.212453944296,0.13546060698371237
Victoria,2025-03,Langford,370,41.67720538021727,8.87775455730595
Victoria,2025-03,Metchosin,39,79.0125283614012,0.4935926087773706
Victoria,2025-03,North Jubilee,12,0.6296378353277751,19.05857514701777
Victoria,2025-03,North Park,13,0.5547658333349055,23.433310450739413
Victoria,2025-03,North Saanich,101,46.99223107240723,2.1492914402037173
Victoria,2025-03,Oak Bay,81,15.619489815371315,5.185828791942167
Victoria,2025-03,Oaklands,27,1.745063022862093,15.472220570989503
Victoria,2025-03,Rockland,41,1.2770765188193576,32.104575877649076
Victoria,2025-03,Saanich,651,113.94765584395373,5.713149561334686
Victoria,2025-03,Salt Spring Island,317,304.0239379463736,1.042681053805425
Victoria,2025-03,Sidney,67,7.334059319838695,9.135459242709478
Victoria,2025-03,Sooke,186,68.07459584516091,2.7322967942852916
Victoria,2025-03,South Jubilee,6,0.37903552887335684,15.829650634161835
Victoria,2025-03,Southern Gulf Islands,217,1105.7833537644108,0.19624097185155517
Victoria,2025-03,Victoria West,43,1.5794902626423177,27.22397283289712
Victoria,2025-03,View Royal,55,17.006456273706412,3.234065881499087
Victoria,2025-05,Burnside,37,2.383840052607786,15.521175575317688
Victoria,2025-05,Central Saanich,87,51.78657604897816,1.6799720436763006
Victoria,2025-05,Colwood,144,21.144397915686927,6.810314513290875
Victoria,2025-05,Downtown,311,0.7651288159031854,406.4675039494944
Victoria,2025-05,Esquimalt,93,10.814618165235897,8.599471435704768
Victoria,2025-05,Fairfield,88,2.7071112024768147,32.50697641067949
Victoria,2025-05,Fernwood,42,1.7530827274117144,23.957796938658806
Victoria,2025-05,Gonzales,23,1.3668243493941041,16.827326796011214
Victoria,2025-05,Harris Green,35,0.24035236438789243,145.61953692086541
Victoria,2025-05,Highlands,19,40.90490647820772,0.46449195550959976
